"","Vote98","Contact","Contacted","Age","Party","Vote96"
"439",0,1,1,38,1,0
"440",0,1,1,26,1,0
"441",1,1,0,64,1,1
"442",1,1,0,83,1,1
"443",0,1,0,65,1,0
"444",0,1,0,21,0,0
"445",0,1,0,33,1,0
"446",1,1,0,79,0,1
"447",1,1,0,76,0,1
"448",0,1,0,86,0,1
"449",1,1,1,86,1,0
"450",0,1,0,86,0,0
"451",0,1,0,37,1,0
"452",1,1,1,71,1,1
"453",0,1,0,35,1,0
"454",1,1,1,75,0,1
"455",0,1,0,0,1,0
"456",0,1,0,38,1,1
"457",1,1,1,27,1,0
"458",0,1,0,35,1,1
"459",0,1,0,28,1,0
"460",0,1,0,26,0,0
"461",0,1,1,74,0,1
"462",0,1,0,92,1,0
"463",0,1,0,23,1,0
"464",0,1,1,39,1,0
"465",1,1,1,84,1,1
"466",1,1,0,67,1,1
"467",0,1,1,76,1,0
"468",1,1,0,71,1,1
"469",0,1,1,24,1,0
"470",0,1,0,30,1,0
"471",0,1,0,47,1,0
"472",0,1,0,54,1,0
"473",0,1,0,80,1,1
"474",0,1,1,35,1,1
"475",0,1,1,20,1,0
"476",1,1,1,34,1,0
"477",1,1,1,57,1,1
"478",0,1,0,59,1,0
"479",0,1,0,74,1,0
"480",0,1,0,26,1,0
"481",0,1,0,29,1,0
"482",1,1,0,0,1,1
"483",0,1,1,59,1,0
"484",1,1,0,47,1,1
"485",1,1,0,71,0,1
"486",0,1,0,61,1,0
"487",1,1,0,71,1,1
"488",0,1,0,81,1,0
"489",0,1,0,46,1,1
"490",1,1,0,45,1,1
"491",0,1,0,33,1,0
"492",0,1,1,34,0,0
"493",0,1,0,39,1,0
"494",1,1,0,52,1,0
"495",0,1,1,52,0,0
"496",0,1,1,45,0,0
"497",1,1,1,47,1,1
"498",0,1,0,40,1,1
"499",0,1,0,76,1,0
"500",0,1,0,75,0,0
"501",0,1,0,22,1,0
"502",1,1,1,68,1,1
"503",0,1,0,84,1,0
"504",0,1,0,52,1,1
"505",1,1,0,84,1,1
"506",1,1,1,35,1,0
"507",0,1,0,23,1,0
"508",0,1,0,52,1,0
"509",0,1,1,73,1,1
"510",0,1,0,89,1,0
"511",0,1,0,22,0,0
"512",0,1,0,78,1,1
"513",1,1,0,39,1,1
"514",0,1,0,22,0,1
"515",1,1,1,34,1,0
"516",0,1,0,0,1,1
"517",1,1,1,72,0,1
"518",1,1,0,46,1,1
"519",0,1,0,47,1,0
"520",0,1,0,39,1,0
"521",0,1,0,26,0,0
"522",0,1,0,87,1,0
"523",0,1,0,27,0,1
"524",1,1,0,53,1,1
"525",1,1,1,85,1,1
"526",1,1,0,70,0,1
"527",0,1,0,0,1,0
"528",1,1,1,79,1,1
"529",0,1,0,22,0,1
"530",1,1,1,76,1,1
"531",1,1,0,38,1,1
"532",1,1,1,56,0,1
"533",0,1,0,27,1,1
"534",1,1,1,36,1,0
"535",0,1,1,38,0,0
"536",0,1,0,27,1,0
"537",0,1,0,37,0,0
"538",0,1,0,85,1,0
"539",1,1,0,33,1,1
"540",0,1,0,48,1,0
"541",1,1,0,71,1,1
"542",1,1,0,74,1,1
"543",1,1,1,76,1,1
"544",1,1,1,32,1,0
"545",1,1,1,75,1,1
"546",0,1,0,86,1,0
"547",0,1,0,96,1,1
"548",1,1,1,68,1,1
"549",0,1,0,81,1,1
"550",0,1,0,37,1,0
"551",0,1,0,33,0,0
"552",1,1,1,83,1,1
"553",1,1,1,59,1,1
"554",0,1,0,28,0,0
"555",1,1,0,28,1,1
"556",0,1,1,51,0,0
"557",1,1,0,43,1,0
"558",0,1,1,82,1,0
"559",0,1,0,23,0,0
"560",0,1,0,24,1,0
"561",0,1,0,63,1,0
"562",1,1,1,86,1,1
"563",1,1,0,67,0,1
"564",0,1,0,47,1,1
"565",0,1,1,45,1,0
"566",1,1,1,39,0,1
"567",1,1,1,61,0,1
"568",0,1,0,34,1,0
"569",0,1,1,35,1,0
"570",0,1,1,86,1,0
"571",1,1,0,73,1,1
"572",1,1,0,80,1,1
"573",0,1,0,25,0,0
"574",0,1,1,69,1,0
"575",0,1,1,37,1,0
"576",1,1,1,55,1,1
"577",0,1,0,0,1,1
"578",0,1,0,68,1,0
"579",1,1,1,73,0,1
"580",1,1,1,55,0,1
"581",1,1,0,67,0,1
"582",0,1,0,25,1,0
"583",0,1,0,53,1,0
"584",0,1,1,42,1,1
"585",0,1,1,35,1,1
"586",1,1,1,71,0,1
"587",0,1,0,58,0,0
"588",0,1,0,27,1,0
"589",0,1,0,36,1,0
"590",0,1,1,37,1,0
"591",1,1,0,48,1,0
"592",1,1,1,50,1,1
"593",0,1,1,55,1,1
"594",1,1,0,38,1,0
"595",0,1,0,33,1,1
"596",1,1,0,71,1,1
"597",0,1,0,38,0,0
"598",0,1,1,26,1,0
"599",0,1,0,20,1,0
"600",1,1,0,33,0,1
"601",1,1,0,77,1,0
"602",1,1,0,84,1,1
"603",1,1,0,46,1,1
"604",0,1,1,27,0,0
"605",0,1,0,51,1,0
"606",1,1,0,66,1,1
"607",0,1,0,68,0,0
"608",0,1,0,44,0,0
"609",1,1,0,49,0,1
"610",0,1,0,29,0,0
"611",0,1,0,27,1,0
"612",0,1,0,78,1,0
"613",1,1,1,81,1,1
"614",0,1,0,55,1,0
"615",0,1,0,21,0,0
"616",0,1,0,28,1,0
"617",1,1,0,41,1,0
"618",1,1,0,83,1,1
"619",0,1,1,39,0,1
"620",0,1,0,70,1,0
"621",1,1,0,27,0,1
"622",1,1,0,43,1,1
"623",0,1,1,87,0,0
"624",0,1,0,26,1,0
"625",0,1,0,85,1,0
"626",0,1,0,85,1,0
"627",1,1,1,72,1,1
"628",0,1,1,32,1,0
"629",1,1,0,74,0,0
"630",0,1,0,51,0,0
"631",0,1,0,62,1,1
"632",1,1,0,77,1,0
"633",0,1,0,30,1,0
"634",1,1,0,75,1,0
"635",0,1,0,47,1,1
"636",1,1,1,50,1,1
"637",0,1,0,29,1,0
"638",0,1,0,39,1,1
"639",1,1,0,37,1,0
"640",1,1,0,32,1,1
"641",0,1,0,54,1,0
"642",0,1,0,50,1,0
"643",0,1,0,84,1,0
"644",0,1,0,30,1,0
"645",0,1,0,20,0,0
"646",0,1,0,45,1,0
"647",1,1,0,46,1,0
"648",1,1,0,92,1,1
"649",1,1,0,60,1,0
"650",1,1,1,56,0,0
"651",1,1,0,42,1,1
"652",0,1,0,55,1,1
"653",1,1,0,80,1,1
"654",1,1,0,42,1,0
"655",1,1,1,31,1,1
"656",0,1,1,35,1,0
"657",1,1,0,42,1,0
"658",0,1,0,86,1,0
"659",0,1,0,33,1,1
"660",1,1,0,27,1,1
"661",0,1,0,25,1,0
"662",0,1,1,25,0,1
"663",0,1,0,24,1,0
"664",0,1,0,23,1,0
"665",0,1,1,42,0,0
"666",1,1,0,61,1,1
"667",0,1,0,31,1,1
"668",0,1,0,36,1,0
"669",1,1,0,0,1,1
"670",1,1,1,43,1,1
"671",1,1,0,83,1,1
"672",0,1,1,65,1,1
"673",1,1,1,75,1,0
"674",0,1,1,85,1,0
"675",1,1,0,36,1,0
"676",1,1,0,79,1,1
"677",0,1,0,49,0,0
"678",1,1,0,79,1,1
"679",0,1,0,20,1,0
"680",0,1,1,41,1,1
"681",1,1,1,26,1,0
"682",1,1,1,66,1,1
"683",0,1,0,30,0,1
"684",0,1,0,50,1,0
"685",0,1,0,63,1,0
"686",0,1,1,21,0,0
"687",0,1,0,49,0,0
"688",1,1,1,71,1,1
"689",1,1,1,70,1,1
"690",0,1,0,30,1,1
"691",0,1,0,81,1,0
"692",0,1,0,45,0,1
"693",0,1,0,43,0,0
"694",1,1,1,61,1,1
"695",0,1,0,34,0,0
"696",1,1,0,48,1,1
"697",0,1,0,33,0,0
"698",0,1,1,41,1,0
"699",1,1,0,44,0,1
"700",0,1,0,49,1,0
"701",0,1,0,31,0,0
"702",0,1,0,33,0,0
"703",1,1,0,77,1,1
"704",0,1,0,25,1,1
"705",0,1,1,57,1,0
"706",0,1,0,37,1,1
"707",1,1,0,51,1,1
"708",0,1,0,26,1,0
"709",1,1,0,67,1,1
"710",1,1,1,64,1,0
"711",0,1,1,43,0,0
"712",0,1,1,39,1,0
"713",1,1,1,52,0,0
"714",0,1,0,49,1,0
"715",0,1,0,31,1,0
"716",0,1,0,48,1,1
"717",0,1,0,70,1,0
"718",0,1,0,32,0,0
"719",0,1,1,51,1,1
"720",0,1,0,19,0,0
"721",0,1,0,36,0,0
"722",0,1,1,34,1,0
"723",1,1,0,65,1,1
"724",0,1,1,90,0,0
"725",1,1,0,71,1,1
"726",0,1,0,89,1,0
"727",1,1,0,63,1,1
"728",0,1,0,26,1,0
"729",0,1,0,28,1,0
"730",0,1,0,80,1,0
"731",1,1,0,46,1,1
"732",0,1,0,32,0,1
"733",1,1,0,51,1,1
"734",1,1,0,78,1,1
"735",1,1,1,50,1,1
"736",0,1,0,37,1,0
"737",0,1,0,42,1,0
"738",0,1,1,87,1,1
"739",0,1,0,90,1,0
"740",1,1,1,69,1,1
"741",1,1,1,76,1,1
"742",0,1,0,40,0,0
"743",1,1,0,35,1,0
"744",0,1,0,26,1,1
"745",0,1,1,50,1,0
"746",1,1,1,30,1,0
"747",0,1,0,27,0,0
"748",0,1,0,44,1,1
"749",1,1,0,45,1,1
"750",0,1,0,84,1,0
"751",1,1,0,25,1,1
"752",0,1,1,37,1,1
"753",1,1,1,83,0,1
"754",1,1,0,33,1,1
"755",0,1,1,45,0,0
"756",0,1,0,32,0,0
"757",0,1,0,25,0,1
"758",0,1,0,26,0,0
"759",0,1,0,28,1,0
"760",1,1,0,79,1,0
"761",0,1,0,38,0,0
"762",0,1,0,29,1,0
"763",0,1,0,29,1,1
"764",1,1,0,31,1,0
"765",0,1,0,37,0,0
"766",1,1,1,59,1,1
"767",1,1,0,78,1,1
"768",1,1,0,81,1,1
"769",0,1,1,23,0,1
"770",1,1,0,80,1,1
"771",0,1,0,46,1,0
"772",1,1,1,49,1,0
"773",1,1,0,50,0,1
"774",1,1,0,53,1,0
"775",1,1,0,34,1,1
"776",1,1,1,92,0,1
"777",1,1,0,69,1,1
"778",1,1,1,0,1,1
"779",1,1,0,77,1,1
"780",1,1,0,27,0,1
"781",0,1,0,70,1,1
"782",1,1,1,48,1,1
"783",1,1,1,24,1,0
"784",0,1,0,65,0,1
"785",1,1,1,90,0,1
"786",0,1,0,48,1,0
"787",0,1,0,82,0,0
"788",1,1,0,30,1,1
"789",0,1,0,43,1,1
"790",0,1,1,37,1,0
"791",0,1,0,31,1,0
"792",0,1,0,29,1,0
"793",1,1,0,54,1,1
"794",0,1,0,23,0,0
"795",0,1,0,23,1,0
"796",0,1,0,63,0,1
"797",0,1,0,31,1,0
"798",1,1,0,80,1,1
"799",0,1,0,35,1,1
"800",0,1,0,29,0,0
"801",0,1,0,34,1,1
"802",0,1,0,58,1,1
"803",0,1,1,0,1,1
"804",1,1,1,37,1,0
"805",0,1,0,22,1,0
"806",1,1,0,49,1,1
"807",0,1,0,57,1,0
"808",1,1,0,79,0,1
"809",1,1,1,55,1,0
"810",1,1,0,39,1,1
"811",1,1,1,50,0,0
"812",0,1,1,36,1,0
"813",0,1,0,43,1,1
"814",1,1,0,42,1,0
"815",0,1,0,36,1,1
"816",0,1,0,76,1,0
"817",1,1,0,30,1,1
"818",1,1,0,32,1,0
"819",0,1,0,47,0,0
"820",0,1,0,39,1,0
"821",0,1,0,21,1,0
"822",1,1,1,45,1,0
"823",1,1,0,63,1,1
"824",0,1,0,73,1,1
"825",0,1,1,87,1,0
"826",0,1,1,22,1,0
"827",0,1,0,79,0,1
"828",0,1,0,26,0,0
"829",1,1,0,47,1,1
"830",1,1,1,64,1,1
"831",0,1,1,89,1,1
"832",1,1,0,89,1,1
"833",0,1,0,41,0,0
"834",0,1,0,33,0,0
"835",0,1,0,32,0,0
"836",0,1,0,27,0,0
"837",0,1,0,21,0,0
"838",0,1,0,43,1,0
"839",0,1,0,68,1,1
"840",0,1,1,0,1,1
"841",1,1,0,80,1,1
"842",0,1,1,36,1,0
"843",0,1,0,33,0,0
"844",0,1,0,73,1,1
"845",0,1,0,49,1,0
"846",0,1,0,70,1,0
"847",0,1,0,56,1,1
"848",0,1,0,38,1,0
"849",0,1,1,40,0,1
"850",0,1,0,42,0,0
"851",0,1,1,31,0,1
"852",0,1,1,34,1,0
"853",1,1,0,72,1,1
"854",0,1,1,62,1,0
"855",0,1,1,63,1,0
"856",1,1,1,79,1,1
"857",0,1,0,22,0,0
"858",1,1,0,55,1,0
"859",0,1,0,45,1,1
"860",1,1,0,75,1,1
"861",0,1,1,69,0,1
"862",0,1,0,25,0,0
"863",0,1,0,27,1,0
"864",1,1,1,70,1,1
"865",0,1,0,23,0,0
"866",0,1,0,49,1,1
"867",1,1,0,84,1,1
"868",0,1,0,68,1,0
"869",1,1,1,74,1,1
"870",0,1,1,34,1,0
"871",0,1,0,72,1,1
"872",1,1,0,65,1,1
"873",0,1,1,20,0,0
"874",0,1,0,30,1,0
"875",1,1,0,29,0,0
"876",1,1,1,71,1,1
"877",1,1,0,31,1,0
"878",1,1,0,64,1,1
"879",1,1,0,50,1,1
"880",0,1,0,74,0,1
"881",0,1,0,37,1,1
"882",0,1,0,60,1,0
"883",0,1,0,22,1,0
"884",0,1,0,33,0,0
"885",1,1,0,42,0,0
"886",0,1,0,67,1,0
"887",0,1,0,42,1,1
"888",0,1,0,50,1,1
"889",1,1,0,60,1,0
"890",0,1,0,40,1,0
"891",1,1,0,26,1,0
"892",1,1,0,64,1,1
"893",1,1,0,76,0,1
"894",0,1,1,44,1,1
"895",1,1,0,48,0,1
"896",0,1,0,39,1,0
"897",0,1,0,30,1,0
"898",1,1,1,80,1,1
"899",0,1,0,26,1,0
"900",1,1,0,49,1,1
"901",0,1,0,26,1,0
"902",0,1,0,46,0,1
"903",0,1,0,21,0,0
"904",0,1,0,23,0,0
"905",0,1,0,27,1,0
"906",0,1,0,27,0,0
"907",1,1,0,38,1,0
"908",1,1,1,33,1,0
"909",0,1,0,62,1,0
"910",0,1,0,39,1,1
"911",0,1,1,32,0,0
"912",0,1,0,26,0,0
"913",0,1,0,39,1,1
"914",0,1,1,44,1,1
"915",1,1,1,71,1,1
"916",1,1,1,73,0,1
"917",1,1,0,65,1,0
"918",1,1,0,37,1,1
"919",0,1,0,41,1,0
"920",1,1,0,85,1,1
"921",1,1,1,82,0,1
"922",1,1,0,28,1,0
"923",0,1,0,26,1,1
"924",1,1,1,43,0,1
"925",1,1,0,40,0,0
"926",0,1,0,23,0,0
"927",0,1,0,21,0,0
"928",0,1,0,29,1,0
"929",1,1,1,73,1,1
